measure,location,sex,age,cause,name,metric,year,value,lastvalue
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1990,1093.0,715.7
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1990,3152.9,1420.3
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1990,221.8,440.5
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1990,220.8,335.2
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,1043.2,899.5
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,1990,2474.2,753.7
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,1990,1391.5,1152.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,1990,104.2,117.0
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1990,1228.6,346.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1990,90.0,94.1
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1990,8.6,6.4
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1990,606.5,342.6
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1990,88.3,42.8
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1992,371.4,200.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1991,196.1,115.7
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1990,400.1,200.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1991,385.3,200.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1991,1177.6,346.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1991,90.5,94.1
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1992,1125.8,346.9
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1992,91.0,94.1
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1992,188.8,115.7
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1990,204.2,115.7
